Date;Last Price
2020-06-19 08:00:00;-49.986
2020-06-19 07:30:00;-50
2020-06-19 07:00:00;-50
2020-06-19 06:30:00;-50
2020-06-19 06:00:00;-50
2020-06-19 05:30:00;-50
2020-06-19 05:00:00;-50
2020-06-19 04:30:00;-50
2020-06-19 04:00:00;-50
2020-06-19 03:30:00;-50
2020-06-19 03:00:00;-50
2020-06-19 02:30:00;-50
2020-06-19 02:00:00;-49.938
2020-06-19 01:30:00;-49.875
2020-06-19 01:00:00;-49.875
2020-06-19 00:30:00;-49.875
2020-06-19 00:00:00;-49.938
2020-06-18 23:30:00;-49.938
2020-06-18 23:00:00;-49.938
2020-06-18 22:30:00;-49.938
2020-06-18 22:00:00;-49.938
2020-06-18 21:30:00;-50
2020-06-18 21:00:00;-50
2020-06-18 20:30:00;-50
2020-06-18 20:00:00;-50
2020-06-18 19:30:00;-50
2020-06-18 19:00:00;-50
2020-06-18 17:30:00;-50
2020-06-18 17:00:00;-50
2020-06-18 16:30:00;-49.906
2020-06-18 16:00:00;-50
2020-06-18 15:30:00;-50
2020-06-18 15:00:00;-50.021
2020-06-18 14:30:00;-50.25
2020-06-18 14:00:00;-50.188
2020-06-18 13:30:00;-50.239
2020-06-18 13:00:00;-50.196
2020-06-18 12:30:00;-50.125
2020-06-18 12:00:00;-50.25
2020-06-18 11:30:00;-50.438
2020-06-18 11:00:00;-50.545
2020-06-18 10:30:00;-50.544
2020-06-18 10:00:00;-50.563
2020-06-18 09:30:00;-50.25
2020-06-18 09:00:00;-50.375
2020-06-18 08:30:00;-50.712
2020-06-18 08:00:00;-50.375
2020-06-18 07:30:00;-50.25
2020-06-18 07:00:00;-50.25
2020-06-18 06:30:00;-50.25
2020-06-18 06:00:00;-50.25
2020-06-18 05:30:00;-50.25
2020-06-18 05:00:00;-50.25
2020-06-18 04:30:00;-50.25
2020-06-18 04:00:00;-50.25
2020-06-18 03:30:00;-50.25
2020-06-18 03:00:00;-50.25
2020-06-18 02:30:00;-50.5
2020-06-18 02:00:00;-50.5
2020-06-18 01:30:00;-50.5
2020-06-18 01:00:00;-50.25
2020-06-18 00:30:00;-50.25
2020-06-18 00:00:00;-50.25
2020-06-17 23:30:00;-50.5
2020-06-17 23:00:00;-50.5
2020-06-17 22:30:00;-50.5
2020-06-17 22:00:00;-50.5
2020-06-17 21:30:00;-50.75
2020-06-17 21:00:00;-50.75
2020-06-17 20:30:00;-50.5
2020-06-17 20:00:00;-50.5
2020-06-17 19:30:00;-50.5
2020-06-17 19:00:00;-50.5
2020-06-17 17:30:00;-50.575
2020-06-17 17:00:00;-50.575
2020-06-17 16:30:00;-50.578
2020-06-17 16:00:00;-50.625
2020-06-17 15:30:00;-50.5
2020-06-17 15:00:00;-50.599
2020-06-17 14:30:00;-50.625
2020-06-17 14:00:00;-50.621
2020-06-17 13:30:00;-50.5
2020-06-17 13:00:00;-50.75
2020-06-17 12:30:00;-51.125
2020-06-17 12:00:00;-51
2020-06-17 11:30:00;-50.813
2020-06-17 11:00:00;-50.75
2020-06-17 10:30:00;-50.75
2020-06-17 10:00:00;-50.959
2020-06-17 09:30:00;-50.877
2020-06-17 09:00:00;-50.619
2020-06-17 08:30:00;-50.618
2020-06-17 08:00:00;-50.535
2020-06-17 07:30:00;-50.5
2020-06-17 07:00:00;-50.5
2020-06-17 06:30:00;-50.275
2020-06-17 06:00:00;-50.5
2020-06-17 05:30:00;-50.5
2020-06-17 05:00:00;-50.5
2020-06-17 04:30:00;-50.625
2020-06-17 04:00:00;-50.5
2020-06-17 03:30:00;-50.75
2020-06-17 03:00:00;-50.75
2020-06-17 02:30:00;-50.25
2020-06-17 02:00:00;-50
2020-06-17 01:30:00;-50.063
2020-06-17 01:00:00;-50
2020-06-17 00:30:00;-49.5
2020-06-17 00:00:00;-49.5
2020-06-16 23:30:00;-49.5
2020-06-16 23:00:00;-49.5
2020-06-16 22:30:00;-49.5
2020-06-16 22:00:00;-49.5
2020-06-16 21:30:00;-49.5
2020-06-16 21:00:00;-49.5
2020-06-16 20:30:00;-49.5
2020-06-16 20:00:00;-49.75
2020-06-16 19:30:00;-49.75
2020-06-16 19:00:00;-49.5
